idx,orig_f_shape,orig_m_shape,harmonized_shape,CRS_match
0599,"(67, 72)","(63, 69)","(63, 69)",True
0600,"(66, 73)","(63, 69)","(63, 69)",True
0601,"(111, 69)","(108, 65)","(108, 65)",True
0602,"(63, 68)","(60, 65)","(60, 65)",True
0603,"(54, 65)","(51, 62)","(51, 62)",True
0604,"(53, 56)","(50, 54)","(50, 54)",True
0605,"(61, 54)","(58, 50)","(58, 50)",True
0606,"(56, 62)","(53, 59)","(53, 59)",True
0607,"(56, 54)","(53, 51)","(53, 51)",True
0608,"(110, 119)","(105, 116)","(105, 116)",True
0609,"(63, 66)","(60, 64)","(60, 64)",True
0610,"(87, 79)","(83, 74)","(83, 74)",True
0611,"(74, 74)","(71, 70)","(71, 70)",True
0612,"(85, 81)","(81, 77)","(81, 77)",True
0613,"(64, 65)","(61, 62)","(61, 62)",True
0614,"(83, 59)","(80, 55)","(80, 55)",True
0615,"(94, 63)","(91, 60)","(91, 60)",True
0616,"(78, 81)","(74, 77)","(74, 77)",True
0617,"(58, 63)","(55, 59)","(55, 59)",True
0618,"(69, 62)","(67, 59)","(67, 59)",True
0619,"(68, 80)","(65, 77)","(65, 77)",True
